,X,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state,type
1568,26770,719 Walnut St,h7TO_IsmLCYmKKDVOOIeFw,"Restaurants, Sushi Bars, Japanese",Philadelphia,"{'Monday': '16:0-21:30', 'Tuesday': '16:0-21:30', 'Wednesday': '16:0-21:30', 'Thursday': '16:0-21:30', 'Friday': '16:0-21:30', 'Saturday': '16:0-21:30', 'Sunday': '16:0-21:30'}",1,39.9481318,-75.153395,Fat Salmon,19106,1089,4.5,PA,Japanese
1819,31577,26 E Ortega St,8Vo6LN9gqULhXzoxj5k6kQ,"American (New), Beer, Wine & Spirits, Food, Japanese, Bars, Asian Fusion, Ramen, Restaurants, Cocktail Bars, Nightlife",Santa Barbara,"{'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:0'}",1,34.4192463,-119.6970386,The Black Sheep,93101,983,4.5,CA,Japanese
946,16065,1225 State St,U2hkeMI-q4cS35QolJYN0A,"Restaurants, Sushi Bars, Japanese, Asian Fusion",Santa Barbara,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '17:0-22:0'}",1,34.4238502,-119.7054774,Arigato Sushi,93101,980,4,CA,Japanese
2108,36931,"1290 E Plumb Ln, Ste J",vHr8qhM4CXYB3Ol_9yS6QQ,"Sushi Bars, Buffets, Japanese, Restaurants",Reno,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,39.50441328,-119.7836731,Sushi Pier,89502,979,4,NV,Japanese
395,6505,262 S 10th St,TunmRrfZb7bt53T6HJi4UQ,"Sushi Bars, Japanese, Restaurants, Asian Fusion, Tapas/Small Plates",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",1,39.94639863,-75.1578007,Bleu Sushi,19107,938,4.5,PA,Japanese
2079,36400,238 N 9th St,_V6hl1oGkTV2KbGeax_HPA,"Restaurants, Noodles, Dim Sum, Hong Kong Style Cafe, Cantonese, Food, Barbeque, Juice Bars & Smoothies, Chinese",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-20:30'}",1,39.9563986,-75.1542873,Sang Kee Peking Duck House,19107,926,4,PA,Chinese
2191,38824,345 N Virginia St,RscMwBafa1cZh94tGlZT_Q,"Steakhouses, Grocery, Restaurants, Japanese, Food, Sushi Bars, Ethnic Food, Asian Fusion, Specialty Food, Event Planning & Services, Caterers",Reno,"{'Monday': '16:30-21:0', 'Tuesday': '16:30-21:0', 'Wednesday': '16:30-21:0', 'Thursday': '16:30-21:0', 'Friday': '16:30-21:30', 'Saturday': '16:30-21:30', 'Sunday': '16:30-21:0'}",1,39.52878852,-119.8143539,Ichiban Japanese Steak House,89501,897,4,NV,Japanese
2468,43688,"6430 S Virginia St, Ste A",wQUBiBqlzC6cbdkX-GaBqQ,"Thai, Restaurants",Reno,"{'Monday': '0:0-0:0', 'Tuesday': '16:30-21:0', 'Wednesday': '16:30-21:0', 'Thursday': '16:30-21:0', 'Friday': '16:30-21:0', 'Saturday': '11:0-21:0'}",1,39.468001,-119.783724,Thai Lotus,89511,891,4.5,NV,Southeast Asia
1301,22495,2035 Sansom St,FqOCC8Y9xryaX7sIBJcrxA,"Japanese, Sushi Bars, Restaurants",Philadelphia,"{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-22:0', 'Saturday': '12:0-22:0'}",1,39.9515773,-75.174834,Vic Sushi Bar,19103,884,4,PA,Japanese
2208,39033,126 S 16th St,kbXpjBSweedxQ1WrlJ5i7Q,"Taiwanese, Restaurants, Noodles, Szechuan, Chinese",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:0'}",1,39.950247,-75.167598,Dan Dan,19102,860,4,PA,Chinese
2692,47495,1999 S Virginia St,3FPi2yKCIh0Hh3iBg8faYA,"Asian Fusion, Sushi Bars, Restaurants, Japanese",Reno,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,39.5049374,-119.8031066,Tokyo Sushi,89502,836,4,NV,Japanese
130,2177,255 S 10th St,FHNIvNgh3fS7VZQq2Y3dsA,"Asian Fusion, Tapas/Small Plates, American (New), Restaurants, Vietnamese, Korean, Noodles, Ramen, Japanese",Philadelphia,"{'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-22:0'}",0,39.9467949,-75.1577025,Cheu Noodle Bar,19107,818,4,PA,Japanese
2259,39871,468 W Cheltenham Ave,qsm7SkX60JsajT7Yz248FA,"Coffee & Tea, Food, Japanese, Restaurants, Chicken Wings, Korean, Asian Fusion",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '12:30-23:30', 'Wednesday': '12:30-23:30', 'Thursday': '12:30-23:30', 'Friday': '12:30-23:30', 'Saturday': '12:30-23:30', 'Sunday': '12:30-23:30'}",1,40.0550205,-75.1260334,Caf?? Soho,19126,800,4,PA,Japanese
44,666,3711 Market St,MMRRS6YhVRx_iN5-JhMRYg,"Restaurants, Chinese, Szechuan",Philadelphia,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-21:0'}",1,39.95671052,-75.19710278,Han Dynasty,19104,783,4,PA,Chinese
167,2780,1813 Magazine St,4WdDY97x4GdMYtyk1KQMnw,"Cafes, American (Traditional), Vietnamese, Restaurants",New Orleans,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",1,29.932123,-90.07350463,Lilly's Cafe,70130,777,4.5,LA,Southeast Asia
1894,32937,8104 W Waters Ave,P-TC0VSnUsct3NhYrj5xOA,"Food, Vietnamese, Sandwiches, Bakeries, Soup, Restaurants",Tampa,"{'Monday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",1,28.0254854,-82.5706104,Thinh An Kitchen & Tofu,33615,768,4.5,FL,Southeast Asia
1628,27840,"514 City Park Ave, Ste F",zWfzgYe2nT9mHYm_vl1Ukw,"Restaurants, Cocktail Bars, Vietnamese, American (New), Wine Bars, Gastropubs, Asian Fusion, Nightlife, Bubble Tea, Bars, Food",New Orleans,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '17:0-23:0', 'Sunday': '11:0-21:0'}",1,29.98352389,-90.10525391,Mopho,70119,767,4,LA,Southeast Asia
943,16020,4955 S Virginia St,VhBW615VRkiQLP03oAZ59Q,"Sushi Bars, Japanese, Restaurants, Steakhouses",Reno,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,39.48096292,-119.792737,Ijji 2 Sushi & Japanese Steakhouse,89502,765,3.5,NV,Japanese
2475,43757,1 Maryland Plz,_OMGZ3TXOfN2By7skat_bw,"Japanese, Restaurants, Lounges, Nightlife, Bars, Sushi Bars",St. Louis,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",1,38.64493786,-90.2616629,Drunken Fish - Central West End,63108,759,3.5,MO,Japanese
2256,39823,211 N 11th St,eoN0GAIRV0WmwUm7FmzKgQ,"Japanese, Sushi Bars, Karaoke, Nightlife, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '16:0-0:0', 'Friday': '11:30-1:0', 'Saturday': '11:30-1:0', 'Sunday': '11:30-0:0'}",1,39.9559497,-75.1571603,Yakitori Boy,19107,748,3.5,PA,Japanese
1215,20834,"50 N Sierra St, Ste 106",YMOCOlONOae4zaiKImTnTQ,"Restaurants, Sushi Bars, Asian Fusion, Japanese",Reno,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",0,39.52512782,-119.8138368,Reef Sushi & Sake,89501,743,3,NV,Japanese
1558,26580,1104 Division St,aDgughL1vDootnXe5kUWGQ,"Bars, Ramen, Food, Restaurants, Japanese, Cocktail Bars, Bubble Tea, Nightlife",Nashville,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-20:0', 'Sunday': '17:0-20:0'}",1,36.1511805,-86.7833044,Otaku Ramen,37203,740,3.5,TN,Japanese
823,13986,3858 W Waters Ave,n_7EQxn0ciucIOJfpWVaTQ,"Vietnamese, Delis, Soup, Coffee & Tea, Food, Restaurants",Tampa,"{'Monday': '7:45-17:0', 'Tuesday': '7:45-17:0', 'Wednesday': '7:45-17:0', 'Friday': '7:45-17:0', 'Saturday': '7:45-17:0', 'Sunday': '7:45-17:0'}",1,28.0246938,-82.50762367,Saigon Deli,33614,738,4.5,FL,Southeast Asia
1116,19091,1100 Washington Ave,8kUh6TROemLfbVR_ewVVLg,"Restaurants, Seafood, Vietnamese",Philadelphia,"{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30', 'Sunday': '10:0-21:30'}",1,39.9364886,-75.1622139,Nam Phuong,19147,738,4,PA,Southeast Asia
1119,19141,5270 Longley Ln,W9y4JkMqy2dFNwYc3Y5cKQ,"Japanese, Seafood, Sushi Bars, Restaurants",Reno,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-16:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,39.47329647,-119.7644852,Hinoki Sushi,89511,735,4,NV,Japanese
2049,35818,"1900 Eastland Ave, Ste 105",OZi0fOn8-ISUwhEAWC_8Gg,"Izakaya, Ramen, Japanese, Pubs, Cocktail Bars, Food, Specialty Food, Restaurants, Ethnic Food, Nightlife, Bars",Nashville,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}",1,36.18156452,-86.73558264,Two Ten Jack,37206,716,4,TN,Japanese
2288,40391,907 Race St,ueAkLzWFFTzQkq3jzyBlnA,"Thai, Vietnamese, Restaurants",Philadelphia,"{'Monday': '10:0-22:0', 'Tuesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,39.9553922,-75.1546977,Pho Xe Lua Viet Thai Restaurant,19107,708,4,PA,Southeast Asia
2487,44120,3218 W Kennedy Blvd,fF0aVsxyI51ZfCZoN-F5GQ,"Sushi Bars, Japanese, Restaurants, Food",Tampa,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",1,27.94451312,-82.49664299,Soho Sushi,33609,707,4,FL,Japanese
2759,48614,350 E Congress St,8Vk_2t7hQI02IhpcRnfAIw,"Sushi Bars, Restaurants, Bars, Japanese, Ramen, Nightlife, Cocktail Bars",Tucson,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0', 'Sunday': '16:0-22:0'}",1,32.2217997,-110.9659218,OBON Sushi Bar Ramen,85701,707,4,AZ,Japanese
1184,20333,1009 Arch St,vUkiYPpbkMXA99WneLSGkQ,"Singaporean, Malaysian, Restaurants, Sushi Bars, Thai, Asian Fusion",Philadelphia,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,39.95377846,-75.15704532,Banana Leaf,19107,706,3.5,PA,Southeast Asia
2114,37100,911 Central Ave,a6J0Jq1GJ6Shk-L10Bp6Cw,"Ramen, Restaurants, Izakaya, Japanese",St. Petersburg,"{'Tuesday': '16:0-22:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",1,27.771331,-82.647278,Buya,33705,703,4,FL,Japanese
1164,19967,1072 N Campbell Ave,IKMAgK2m6WRIViVFB2vAFQ,"Vegetarian, Vietnamese, Restaurants, Noodles",Tucson,"{'Monday': '11:0-20:30', 'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30', 'Sunday': '11:0-20:0'}",1,32.23540861,-110.9436273,Miss Saigon,85719,702,4,AZ,Southeast Asia
2653,46833,1901 John F Kennedy Blvd,gjFUrbSMo1rA1jgG5IhA2A,"Brazilian, Food, Desserts, Restaurants, Barbeque, Chinese, American (New), Dim Sum, Steakhouses",Philadelphia,"{'Monday': '17:30-21:0', 'Tuesday': '17:30-21:0', 'Wednesday': '17:30-21:0', 'Thursday': '17:30-21:0', 'Friday': '17:30-22:0', 'Saturday': '17:0-22:0', 'Sunday': '16:0-21:0'}",1,39.9547768,-75.17267244,Chima Steakhouse,19103,697,3.5,PA,Chinese
831,14101,"1296 E Plumb Ln, Ste H",f8ss-XDpkdwwbQf0-V6JCA,"Cantonese, Restaurants, Nightlife, Cajun/Creole, Asian Fusion, Seafood, Chinese, Bars, Wine Bars",Reno,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30', 'Sunday': '11:0-20:0'}",1,39.5051249,-119.7821,Crawfish Asian Cuisine,89502,694,4.5,NV,Chinese
2199,38958,3195 S Grand Blvd,0QYWhij_YZ7Lyk9F6213Sg,"Vietnamese, Restaurants",St. Louis,"{'Monday': '0:0-0:0', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",1,38.599449,-90.24299,Pho Grand Restaurant,63118,679,4,MO,Southeast Asia
475,7851,936 Virginia Ave,fuiVa2_MABIQS7pINKcoLw,"Thai, Restaurants",Indianapolis,"{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,39.7543726,-86.1418859,Siam Square,46203,632,4,IN,Southeast Asia
2533,44845,102 E 2nd St,ksFVaF5TatgsVGXk7Yyw9A,"Restaurants, Vietnamese, Noodles, Food",Reno,"{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-20:30'}",1,39.52701384,-119.8115289,Pho 777 Vietnamese Noodle Restaurant,89501,632,3.5,NV,Southeast Asia
2456,43424,1119 Walnut St,bLJP0fVgscuUQy0hE_CRXA,"Restaurants, Thai, Bars, Nightlife",Philadelphia,"{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-23:30', 'Saturday': '11:30-23:30', 'Sunday': '11:30-22:30'}",1,39.9490512,-75.159888,Xiandu Thai,19107,631,4,PA,Southeast Asia
2134,37418,6623 Delmar Blvd,KdAWjL9MKjpJzEeI902qBA,"Restaurants, Bubble Tea, Barbeque, Chinese, Food",St. Louis,"{'Monday': '0:0-0:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,38.65624555,-90.30652909,Corner 17,63112,614,4,MO,Chinese
2949,51878,1355 N Front St,hUmHwBQtGg0iH-PZakQJDw,"Restaurants, Tapas/Small Plates, Italian, Szechuan, Cocktail Bars, Pizza, Chinese, Bars, Nightlife",Philadelphia,"{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",1,39.971709,-75.135062,Wm Mulherin's Sons,19122,610,4.5,PA,Chinese
2919,51281,1565 S Virginia St,ivD5l1I3a146ZDGIfr6HYA,"Asian Fusion, Restaurants, Thai, Chicken Wings, Noodles, Soup",Reno,"{'Monday': '0:0-0:0', 'Tuesday': '11:30-20:30', 'Wednesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-20:30', 'Saturday': '11:30-20:30', 'Sunday': '15:0-20:30'}",1,39.508593,-119.8055756,Moo Dang,89502,596,4,NV,Southeast Asia
252,4464,2995 E Speedway,3StNEgKAwpCFR1q0urmJrw,"Noodles, Japanese, Diners, Restaurants, Ramen",Tucson,"{'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '16:0-20:0', 'Sunday': '16:0-20:0'}",1,32.23645324,-110.9283938,Raijin Ramen,85716,594,4,AZ,Japanese
922,15606,602 N Dale Mabry Hwy,yui1n1JawiW9g7RR62a_wA,"Korean, Sushi Bars, Restaurants, Japanese",Tampa,"{'Monday': '11:0-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '16:0-21:30', 'Sunday': '12:0-22:0'}",1,27.949494,-82.506132,Matoi Sushi,33609,594,4,FL,Japanese
1788,31022,207 Woodland St,g33s03KL3BTPgTPg_6r_Kw,"Thai, Restaurants",Nashville,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",0,36.1702952,-86.7699364,Thai Phooket,37213,594,3.5,TN,Southeast Asia
481,7961,3048 E Broadway Blvd,LmZWlvPJBwj5WG2KHV-v1Q,"Buffets, Sushi Bars, Financial Services, Japanese, Tax Services, Restaurants",Tucson,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,32.2211445,-110.9270293,Sushi Garden,85716,589,3,AZ,Japanese
1666,28543,59 N 11th St,UQZ4p6xb_7gY7UXHmBzceg,"Restaurants, Chinese, Shanghainese, Dim Sum",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:30'}",1,39.9532889,-75.1578543,Tom's Dim Sum,19107,587,3.5,PA,Chinese
2717,48030,639 Westport Plaza Dr,DJFxBTBIgYErzKS5cA_LiQ,"Sushi Bars, Japanese, Restaurants, Lounges, Bars, Nightlife",St. Louis,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",1,38.70095051,-90.44643372,Drunken Fish - Westport Plaza,63146,587,3.5,MO,Japanese
522,8636,2309 Kietzke Ln,_KlEMZvay1c9xYctKFtN-w,"Restaurants, Vietnamese, Asian Fusion",Reno,"{'Monday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-19:30'}",1,39.5015925,-119.7903616,999 Pho,89502,580,4,NV,Southeast Asia
2296,40495,1210 Walnut St,Hr6aM0s-woIJaW6DJSbvNQ,"Sushi Bars, Restaurants, Lounges, Ramen, Japanese, Nightlife, Bars",Philadelphia,"{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-20:0', 'Saturday': '16:0-0:0', 'Sunday': '11:30-22:30'}",1,39.948896,-75.1611319,Aki Nom Nom Sushi & Ramen,19107,573,3.5,PA,Japanese
376,6287,1507 S Virginia St,VKgK7Z0WR9YIxtAAC63eUA,"Japanese, Restaurants, Sushi Bars, Buffets",Reno,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:0'}",0,39.5093217,-119.8057665,Sushi Pier Midtown,89502,569,3,NV,Japanese
