,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
430,455 Opry Mills Dr,8SqvtaRu9likNDAfAU-HBQ,"Fast Food, Restaurants, Chinese",Nashville,"{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '12:0-18:0'}",1,36.20272849,-86.69448853,Panda Express,37214,15,3,TN
437,7018 E Golf Links Rd,Vf1je11xO_8RtFeBUiV2tg,"Restaurants, Chinese",Tucson,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}",0,32.1907202,-110.8436457,Golden China Restaurant,85730,13,3.5,AZ
483,3379 Kentucky Ave,YUlWhx8rq_Pc5yVKrp2awQ,"Chinese, Restaurants",Indianapolis,,1,39.71394111,-86.23480126,China One,46221,23,4,IN
492,735 W Lancaster Ave,Z5LGSHEYjCUtKwjKotCNqA,"Chinese, Restaurants",Wayne,,1,40.0477909,-75.409318,Chinese Delight,19087,52,3,PA
495,"700 Nutt Rd, Ste 701",btycQr2eJqbNbArJdUxMmQ,"Restaurants, Chinese",Phoenixville,"{'Monday': '16:0-21:30', 'Tuesday': '16:0-21:30', 'Wednesday': '16:0-21:30', 'Thursday': '16:0-21:30', 'Friday': '16:0-21:30', 'Saturday': '16:0-21:30', 'Sunday': '12:0-21:0'}",0,40.133113,-75.5342207,New Golden Buffet,19460,30,2.5,PA
509,"10025 102A Avenue NW, 3rd Floor",kB_937pEPUD5iwVY12SCbg,"Fast Food, Chinese, Restaurants",Edmonton,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '12:0-17:0'}",0,53.54387379,-113.4928506,Shanghai 360,T5J,6,2.5,AB
513,"10801 Starkey Rd, Ste 5",idRTl_xdqB12GWXIsisW-g,"Restaurants, Chinese",Seminole,"{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}",1,27.87184,-82.760131,New Hong Kong Chinese Restaurant,33777,18,2.5,FL
518,718 S Florissant Rd,QEF6usO04AtvrazPhLX_sw,"Chinese, Restaurants",Ferguson,,1,38.7353075,-90.301102,Chinese Express,63135,15,4,MO
533,10714 Countryway Blvd,a8eIw8vCk-kIe__G6NUfaA,"Chinese, Restaurants",Tampa,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}",0,28.0571712,-82.6237785,China Wok,33626,17,3.5,FL
548,8165 Hwy 100,zxpJ4Frr8Zoru-YaNzOxzw,"Chinese, Restaurants",Nashville,"{'Tuesday': '10:45-21:30', 'Wednesday': '10:45-21:30', 'Thursday': '10:45-21:30', 'Friday': '10:45-22:0', 'Saturday': '10:45-22:0', 'Sunday': '10:45-21:30'}",1,36.0441354,-86.9579331,China Spring,37221,33,3.5,TN
560,"18101 Highwoods Preserve Pkwy, Ste 100",_uQEKHH0R5fxrYkLrUI9pQ,"Szechuan, Noodles, Restaurants, Chinese",Tampa,"{'Monday': '0:0-0:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}",1,28.1316091,-82.3691327,Gu Wei Noodles & Grill,33647,40,4.5,FL
580,"120 Street, Suite 12704",PJeoajci4MBVuyAOQet57g,"Chinese, Restaurants",Edmonton,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",1,53.5850722,-113.5290706,Dover Kam Kitchen,T5E,9,3,AB
590,170 W County Ctr,Q21nd52A3wOMlu7b28ZISQ,"Chinese, Restaurants",Saint Louis,,1,38.60000161,-90.44686701,Mandalay Asian Cuisine,63131,16,3,MO
594,8600 Delmar Blvd,y5o2VSvj42KrXrotY3GTgA,"Restaurants, Chinese",Saint Louis,"{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '16:0-21:0'}",0,38.66029492,-90.35851479,Guo Bin Chinese Restaurant,63124,51,3.5,MO
595,439 Cool Springs Blvd,vG9aD-fvsIimgo-l7u8-AA,"Restaurants, Chinese, Asian Fusion, Gluten-Free",Franklin,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,35.94672225,-86.82576656,P.F. Chang's,37067,181,2.5,TN
609,2809 Ridge Pike,PMpcbvBon1rfGE7pWKv8aQ,"Restaurants, Chinese",Trooper,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-21:30'}",1,40.1473976,-75.3956755,King House Chinese Restaurant,19403,15,3.5,PA
620,8663 Little Rd,nteD5A6CKXZPqbR9EltQng,"Restaurants, Chinese",Port Richey,"{'Monday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:0'}",1,28.283355,-82.677826,Super China Chinese Restaurant,34654,54,4,FL
649,"625 E Wetmore Rd, Ste 109",-3-6BB10tIWNKGEF0Es2BA,"Coffee & Tea, Asian Fusion, Food, Bubble Tea, Hong Kong Style Cafe, Taiwanese, Restaurants, Chinese",Tucson,"{'Monday': '0:0-0:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",1,32.2885403,-110.9631443,The 81 Hong Kong Cafe,85705,133,4,AZ
665,3447-61 Richmond St,V5KiEoH4E86GA2S3RQkf1g,"Restaurants, Chinese, Asian Fusion",Philadelphia,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,39.9862724,-75.094699,Spice Grill,19134,12,3.5,PA
666,3711 Market St,MMRRS6YhVRx_iN5-JhMRYg,"Restaurants, Chinese, Szechuan",Philadelphia,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-21:0'}",1,39.95671052,-75.19710278,Han Dynasty,19104,783,4,PA
671,927 Race St,icp_IKE9zIkAqAucyS1vTA,"Restaurants, Chinese",Philadelphia,"{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:30'}",0,39.9554945,-75.1552563,Hakka Beef House,19107,33,4.5,PA
692,3175 S Grand Blvd,Llu8_Lx2DFthmr99_eiOLA,"Bakeries, Chinese, Restaurants, Food",Saint Louis,"{'Monday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,38.6002991,-90.2429828,Wei Hong Bakery & Restaurant,63118,135,4,MO
693,2716 E Fowler Ave,3n_G-_DwOJ2VS4uGxBN6sg,"Chinese, Noodles, Seafood, Chicken Wings, Restaurants",Tampa,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-21:0'}",1,28.0554349,-82.4292524,Lan Zhou Lamen,33612,78,4,FL
759,5140 Kietzke Lane Suite E,UKA2eeAZmO4ACB2J0kFISw,"Fast Food, Chinese, Restaurants",Reno,"{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-21:30', 'Saturday': '10:30-21:30', 'Sunday': '10:30-21:30'}",1,39.47496469,-119.7922227,Panda Express,89509,86,2.5,NV
765,989 N US 31,Z5C4q4mouUojigDmCRuG8w,"Chinese, Restaurants",Whiteland,"{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}",1,39.56383987,-86.09175382,Taste of China,46184,21,4,IN
766,421 Hurffville-Crosskeys Rd,kgywEv9dQHcvEAu741y3RQ,"Seafood, Restaurants, Chinese",Sewell,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}",1,39.7338119,-75.0638068,New Bamboo Garden,8080,34,4,NJ
778,1228 Chestnut St,n6dw_zxL_4cVO6EP_m0joQ,"Restaurants, Chinese",Philadelphia,,1,39.9503586,-75.1615836,Dragon House,19107,5,4,PA
793,17743 98A Avenue NW,ypp08ewHqQ-zmdTnG8qOAw,"Restaurants, Chinese, Seafood",Edmonton,,1,53.533629,-113.627752,New Dragon Express,T5T 5W8,14,2.5,AB
843,906 Conestoga Rd,84gj5tMd_gxn9_rZBLmEIw,"Restaurants, Chinese",Bryn Mawr,,0,40.0253454,-75.3373564,China Garden Restaurant,19010,12,3,PA
852,281 N Keswick Ave,bRhnVTfuxDchyFguyDzuDQ,"Restaurants, Sushi Bars, Food, Chinese",Glenside,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}",1,40.10614254,-75.14692804,Queen Sushi,19038,76,3.5,PA
866,1606 W Valencia Rd,Y70T1eClNnw_PlBkr1IHqg,"Chinese, Fast Food, Restaurants",Tucson,"{'Monday': '9:30-22:0', 'Tuesday': '9:30-22:0', 'Wednesday': '9:30-22:0', 'Thursday': '9:30-22:0', 'Friday': '9:30-22:30', 'Saturday': '10:0-22:30', 'Sunday': '10:0-22:0'}",1,32.1342676,-110.9998502,Panda Express,85746,44,1.5,AZ
872,5431 N 5th St,sfbg2kxnvKpmlIuCUas5TA,"Restaurants, Chinese",Philadelphia,,1,40.0342865,-75.1307075,Lucky Wok Restaurant,19120,6,2.5,PA
926,"901 Embarcadero Del Mar, Unit 100",MiMRlsXOpHJMSTDAuw8s1w,"Chinese, Restaurants, Asian Fusion, Szechuan",Isla Vista,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0'}",1,34.4129239,-119.8573375,Su?Ä?s Bowl,93117,18,3.5,CA
964,440 E Ortega St,lTVHJAvtFQbQb6cPstEXyA,"American (New), American (Traditional), Chinese, Restaurants",Santa Barbara,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}",0,34.4235663,-119.6925452,China Bowl & State Street Cafe,93101,61,2,CA
977,615 E Prater Way,NAbdYpm3Hn_XnhSQftsJNA,"Dim Sum, Chinese, Restaurants",Sparks,,1,39.54159008,-119.7357798,Wow Bao,89431,13,2,NV
979,1762 22nd St S,ewhGlOAo3GYriPFnLV004g,"Chinese, Restaurants",Saint Petersburg,,1,27.7524013,-82.6614647,China Star,33712,6,3,FL
986,2659 N Illinois St,1CRaUspmxoegNBUnLkBAyA,"Chinese, Restaurants",Swansea,"{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",1,38.54432735,-89.98412936,Li Chinese Reaturant,62226,27,3,IL
1049,1512 Walnut St,aZNiVR6oAMQX5__yGPvYsg,"Chinese, Restaurants",Philadelphia,,0,39.9493255,-75.1667043,Susanna Foo Chinese Cuisine,19102,26,3.5,PA
1083,"6970 W State St, Ste 18",7JB8oxtB1Wa0JIWHxs-DhQ,"Chinese, Restaurants",Boise,,0,43.667181,-116.27553,Jades Chopstick,83714,7,2.5,ID
1084,"901 Embarcadero Del Mar, Ste 100",cbkrO0zra1OiNGvtjw2igQ,"Restaurants, Chinese",Goleta,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",0,34.41310531,-119.8574306,Wok On the Wild Side,93117,95,2,CA
1103,2821 116 Street NW,a24bmNPatJARqO1H4QnWgQ,"Restaurants, Chinese",Edmonton,"{'Monday': '15:30-23:0', 'Tuesday': '15:30-23:0', 'Wednesday': '15:30-23:0', 'Thursday': '15:30-23:0', 'Friday': '15:30-0:0', 'Saturday': '15:30-0:0', 'Sunday': '15:30-23:0'}",1,53.4604772,-113.5313926,Blue Quill Chinese Food,T6J 4R6,26,3,AB
1105,"1155 St. Louis Galleria, FC-5",la1k3Qq-cUBZrTXyElb8QA,"Chinese, Fast Food, Restaurants",Saint Louis,"{'Monday': '11:0-19:0', 'Tuesday': '11:0-17:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-19:0'}",1,38.636278,-90.348028,Panda Express,63117,7,3.5,MO
1110,17 Flower Valley Shopping Ctr,9jSYRT9jmXlVp0owgqKa5A,"Chinese, Restaurants",Florissant,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",1,38.811718,-90.298623,Old St Louis Chop Suey,63033,12,4,MO
1170,"2613 Franklin Pike, Ste 103",tW-hptQp2G8ShB_In68InQ,"Chinese, Restaurants",Nashville,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '15:0-22:0'}",1,36.12045132,-86.77742195,China Spring,37204,28,3,TN
1172,450 Pennbrook Pkwy,2va-BK-z06mmPkSjNAJX0w,"Chinese, Restaurants",Lansdale,"{'Monday': '10:30-21:15', 'Tuesday': '10:30-21:15', 'Wednesday': '10:30-21:15', 'Thursday': '10:30-21:15', 'Friday': '10:30-22:15', 'Saturday': '10:30-22:15', 'Sunday': '11:30-21:15'}",1,40.2284736,-75.2820167,China King,19446,42,3.5,PA
1181,108 N 10th St,mCo2uVTTGYrEhRrkQW-CMw,"Taiwanese, Chinese, Noodles, Restaurants",Philadelphia,"{'Monday': '11:0-21:45', 'Tuesday': '11:0-21:45', 'Wednesday': '11:0-21:45', 'Thursday': '11:0-21:45', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:45'}",0,39.9539403,-75.1563093,Empress Garden,19107,263,4,PA
1189,104 N 10th St,ydIiHK4TE_wd7gAyifNUAQ,"Restaurants, Chinese",Philadelphia,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0'}",0,39.9538392,-75.1563293,Chinese Restaurant,19107,27,4.5,PA
1243,21627 Villages Lakes Shopping Dr,VOGWnQHijIpURf4eNSvIaw,"Buffets, Asian Fusion, Sushi Bars, Restaurants, Chinese",Land o lakes,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",0,28.190878,-82.458285,Imperial Asian Buffet,34639,56,3,FL
1245,3203 Calgary Trail,0IG9w6YCkh-z5pnfSip6Nw,"Chinese, Restaurants, Dim Sum",Edmonton,"{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:0-22:30', 'Saturday': '10:0-22:30', 'Sunday': '9:0-22:0'}",1,53.4642729,-113.4947455,Tasty Noodle,T6J 5X8,64,3.5,AB
1251,7541 N Lindbergh Blvd,PwPlORKIYRQlm_vpQ72WUA,"Restaurants, Chinese",Hazelwood,,0,38.785992,-90.352844,Village China Wok Buffet,63042,5,2,MO
1252,2852 Street Rd,Cpl1-0iX6N7yauiJKhpXfA,"Chinese, Cantonese, Noodles, Restaurants",Bensalem,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:59', 'Saturday': '11:0-23:59', 'Sunday': '12:0-22:0'}",1,40.111675,-74.955319,Hong Kong Star Noodle House,19020,50,3.5,PA
1255,"966 Embarcadero Del Mar, Apt C",SOl2m-ZsAmnCuQGdMZeANQ,"Restaurants, Fast Food, Chinese",Isla Vista,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,34.411727,-119.8567951,Red Pepper Chinese Food Express,93117,5,3.5,CA
1269,"3122 N Campbell Ave, Ste 100",AEOd0wRdjeLIXb1usSp9hg,"Restaurants, Dim Sum, Chinese, Cantonese, Noodles, Taiwanese, Szechuan",Tucson,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:0'}",1,32.2636803,-110.9431659,Kung Fu Noodle,85719,217,4,AZ
1270,801 E Bloomingdale Ave,UU48d45ZXJV1Sb8_Pmpvjg,"Restaurants, Chinese",Brandon,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:0'}",0,27.8931397,-82.273059,Dragon City,33511,25,2.5,FL
1281,9431 Jasper Ave NW,UBJ99FRrRQSEypU5CtjGBw,"Dim Sum, Restaurants, Chinese",Edmonton,,0,53.545739,-113.4782234,Mirama Dining & Lounge,T5H 3T8,9,3,AB
1288,6310 Delmar Blvd,NvMYRJ_wPJmt4FFsEF7O0A,"Restaurants, Szechuan, Chinese",University City,"{'Monday': '11:0-20:30', 'Wednesday': '11:0-20:45', 'Thursday': '11:0-20:45', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:30'}",1,38.65562127,-90.30247748,Perfect Taste,63130,65,4,MO
1312,7035 E 96th St,0SZy4uieBzBzg54vRdAfgw,"Restaurants, Chinese",Indianapolis,,0,39.92633,-86.0448719,Panda Express,46250,6,2,IN
1326,1801 Zumbehl Rd,fdqBP3kBrZHRHzQkoiNJ3g,"Chinese, Restaurants",Saint Charles,,1,38.77677,-90.529285,Ho-Ho Chinese Restaurant,63303,34,3,MO
1376,456 E Carmel Dr,4fQPIhCh2bUJBZcxQlLGFQ,"Buffets, Restaurants, Chinese",Carmel,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,39.96276707,-86.11771781,Number One China Buffet,46032,54,3,IN
1391,209 S State Rd 135,yPzni14snM06Kk5xLy6e6w,"Fast Food, Food, Restaurants, Imported Food, Chinese, Ethnic Food, Specialty Food",Greenwood,"{'Monday': '16:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",1,39.6126787,-86.1575896,Wang Cai,46142,31,3.5,IN
1446,8310 Pendleton Pike,6VOoXgAP2QCXHHFioUGeOQ,"Chinese, Restaurants",Indianapolis,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '15:0-21:0'}",1,39.8396515,-86.0208823,Rice King,46226,24,3.5,IN
1463,3700 Mallory Ln,X-Xx23pb9nqppl2KNpOMJw,"Chinese, Restaurants",Franklin,,1,35.9385971,-86.8197926,Famous Wok,37067,6,3,TN
1507,47 S York Rd,rDuopLmZ2X0uvwZpkqHGcw,"Soup, Seafood, Restaurants, Chinese",Hatboro,"{'Monday': '11:0-21:45', 'Tuesday': '11:0-21:45', 'Wednesday': '11:0-21:45', 'Thursday': '11:0-21:45', 'Friday': '11:0-22:45', 'Saturday': '11:0-22:45', 'Sunday': '12:0-21:45'}",1,40.176079,-75.106012,Asian Cafe,19040,14,3,PA
1557,2374 W 86th St,NnHfPMXbY7IQI24lcYXKiQ,"Restaurants, Breakfast & Brunch, Asian Fusion, Chinese, Noodles",Indianapolis,,1,39.9123675,-86.2025668,Wow Bao,46260,33,2.5,IN
1589,1441 E Fletcher Ave,zPmSsAdvoBbo94msaYCLYg,"Restaurants, Chinese, Seafood",Tampa,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,28.0688469,-82.4437504,Chopstix,33612,32,3,FL
1604,2373 Murfreesboro Pike,ctu_fZxCRoQKRj4kUtOitg,"Restaurants, Chinese",Nashville,"{'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:30'}",1,36.0843377,-86.647476,China Moon,37217,19,3,TN
1620,113 E Judge Perez,GUjW2bS0MVP4qZ7_o1m-Uw,"Seafood, Chinese, Restaurants",Chalmette,"{'Monday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-19:0'}",0,29.9425702,-89.9624911,Son Seafood,70043,9,4.5,LA
