,address,business_id,categories,city,hours,latitude,longitude,name,postal_code,review_count,stars,state,OutdoorSeating,BusinessAcceptsCreditCards,RestaurantsPriceRange2,RestaurantsTakeOut,WiFi,ParkingAvailability
25,1703 S 9th St,HHWTWs8sa7cE3ksH3_BCTw,"Coffee & Tea, American (New), Restaurants, Food",Philadelphia,"{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",39.9280696,-75.1602342,Fa Caldo Caffe,19148,19.0,4.5,PA,1,1,1,1,free,0.0
26,1201 N Broad St,gq4zw-ru_rkZ2UBIanaZFQ,"Fast Food, Food, Burgers, Coffee & Tea, Restaurants",Philadelphia,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-4:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '4:0-23:0'}",39.9720955382,-75.1588091254,McDonald's,19122,38.0,1.0,PA,0,1,1,1,,1.0
27,7520 City Line Ave,-sRtgVuwRz7JJQaHiLV9zw,"Coffee & Tea, Food, Donuts",Philadelphia,"{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",39.979683,-75.2697307,Dunkin',19151,10.0,2.0,PA,0,1,1,1,free,0.0
28,1528 Walnut St,OTBWyXkNsBYHqIlXJXnEDA,"Food, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",39.949485,-75.1673521,Starbucks,19102,39.0,3.0,PA,0,1,2,1,free,1.0
29,888 N 26th St,vdpxxb6fxjYtJMnW_V0GZg,"Food, Coffee & Tea",Philadelphia,"{'Monday': '8:0-14:0', 'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}",39.9725217939,-75.1792898199,Lucky Goat Coffeehouse,19130,135.0,4.5,PA,1,1,1,1,free,1.0
30,4700 States Dr,WZPCfTRiN4ipajP7gFfziA,"Restaurants, Coffee & Tea, Food, Breakfast & Brunch, Sandwiches",Philadelphia,"{'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '9:0-16:0', 'Sunday': '9:0-16:0'}",39.9849894194,-75.2161406602,The Centennial Cafe,19143,26.0,3.5,PA,1,1,2,1,,1.0
31,710 Adams Ave,6jNFUIKiCCKnLCpGJpkyrg,"Fast Food, Restaurants, Food, Coffee & Tea, Burgers",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",40.0323183,-75.106562376,McDonald's,19124,22.0,1.0,PA,,1,1,1,free,0.0
32,300 Erie Ave,YJ4jzBFJU2EJhM-zatdLRQ,"Food, Donuts, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",40.0068644,-75.1230914,Dunkin',19134,6.0,1.0,PA,,,1,1,,
33,928 Pine St,eFvzHawVJofxSnD7TgbZtg,"Food, Cafes, Coffee & Tea, Restaurants",Philadelphia,"{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-17:0', 'Sunday': '7:0-17:0'}",39.9446092,-75.1578331,Good Karma Cafe,19107,249.0,4.0,PA,1,1,1,1,free,1.0
34,1925 Fairmount Ave,_kSaLnFZIEpOZEg6ZIxKvQ,"Coffee & Tea, Creperies, Bakeries, Cafes, Food, Restaurants",Philadelphia,"{'Monday': '6:30-17:0', 'Tuesday': '6:30-17:0', 'Wednesday': '6:30-17:0', 'Thursday': '6:30-17:0', 'Friday': '6:30-17:0', 'Saturday': '6:30-17:0', 'Sunday': '6:30-17:0'}",39.9673949,-75.1696764,High Point Cafe,19130,28.0,4.0,PA,1,1,1,1,,0.0
35,5945 Woodland Ave,iJOwwuhHP_0BCHmpmJ8l4Q,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9307946183,-75.2276433154,McDonald's,19143,15.0,2.0,PA,0,1,1,1,,
36,2413 Frankford Ave,wAUkOyvAoyE6F7zuQ3g_UA,"Gelato, Restaurants, Cafes, Food, Coffee & Tea",Philadelphia,"{'Friday': '10:0-13:0', 'Saturday': '10:0-13:0', 'Sunday': '10:0-13:0'}",39.981907,-75.127012,Flow State CoffeeBar,19125,25.0,5.0,PA,,,,1,free,0.0
37,901 South St,WFRro-8uIBpKoJ1VSKrpdw,"Ice Cream & Frozen Yogurt, Coffee & Tea, Food",Philadelphia,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",39.942777,-75.1572649,Berry Sweet Frozen Yogurt,19147,73.0,4.0,PA,0,1,1,1,free,1.0
38,14254 Bustleton Ave,p2SakAsYqdAvLqPpAhkekw,"Coffee & Tea, Donuts, Bagels, Food",Philadelphia,"{'Monday': '5:0-21:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '5:0-21:0', 'Sunday': '5:0-21:0'}",40.1346700008,-75.0082556575,Dunkin' Donuts,19116,10.0,2.5,PA,1,1,1,1,free,0.0
39,933 Race St,z5YxP_jyIU7dRKUA7V_H0w,"Hainan, Fast Food, Chinese, Coffee & Tea, Food, Restaurants, Thai",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0', 'Sunday': '16:0-22:0'}",39.955545,-75.1554729,Cily Chicken Rice,19107,68.0,4.5,PA,,1,2,1,free,0.0
40,2400 Coral St,_O_KBH1MStcUkS1xk5pxsg,"Coffee & Tea, Breakfast & Brunch, Books, Mags, Music & Video, Bookstores, Tea Rooms, Bagels, Shopping, Sandwiches, Restaurants, Food",Philadelphia,"{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}",39.9835674,-75.1293858,Franny Lou's Porch,19125,68.0,4.5,PA,1,1,1,1,free,1.0
41,3313 Wharton St,MUQDp-1rzSN3lCjUycNLug,"Donuts, Food, Coffee & Tea, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9385148,-75.1981973,Dunkin',19146,16.0,2.0,PA,0,1,1,1,free,0.0
42,215 Lombard St,-RzbRfPnKcwTixtokN-p6A,"Food, Coffee & Tea",Philadelphia,,39.9422572,-75.145956,Cosi,19147,5.0,3.5,PA,,,,,,
43,7236-40 Germantown Ave,UjXH7iq8eYauQoGswkxGYw,"Food, Restaurants, Convenience Stores, Delis, Coffee & Tea, Sandwiches",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",40.0607947,-75.1920424,Wawa,19119,28.0,2.5,PA,0,1,1,1,free,1.0
44,1528 Frankford Ave,vUrTGX_7HxqeoQ_6QCVz6g,"Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese",Philadelphia,"{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '17:0-21:30'}",39.9736865005,-75.1339557767,Suraya,19125,1121.0,4.5,PA,,1,3,,free,1.0
45,8901 Franford Ave,fFA6bjWbq724vB1tW4V9pQ,"Coffee & Tea, Food, Fast Food, Restaurants, Burgers",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",40.0503776775,-75.0094825029,McDonald's,19136,15.0,1.5,PA,1,1,1,1,free,0.0
46,"3816 Chestnut St, Unit  9",wP0SSjU7R-m9j-VRhOCzmg,"Food, Patisserie/Cake Shop, Bakeries, Coffee & Tea",Philadelphia,"{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-21:0'}",39.9551256,-75.1998158,Paris Baguette,19104,15.0,4.5,PA,1,,,1,free,
47,50 S 3rd St,AWJyivVwe3t9BO-k8D0ynQ,"Food, Coffee & Tea, Cafes, Salad, Sandwiches, Sushi Bars, Restaurants, Breakfast & Brunch",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0'}",39.9489068,-75.1460802,Cafe Square One,19106,245.0,4.5,PA,,1,1,1,free,1.0
48,1912 Liacouras Walk,X_X60vlWlPLWcW97LPrSjw,"Coffee & Tea, Food, Convenience Stores",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9820199478,-75.1560544968,7-Eleven,19122,5.0,4.0,PA,,1,1,1,,
49,4373 Main St,bpEiVcivZFHixcDGKXQQJA,"Coffee & Tea, Bagels, Food, Breakfast & Brunch, Restaurants",Philadelphia,"{'Tuesday': '8:0-14:30', 'Wednesday': '8:0-14:30', 'Thursday': '8:0-14:30', 'Friday': '8:0-14:30', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}",40.0252890632,-75.2227872271,Valerio Coffee Roasters,19127,34.0,4.0,PA,1,1,1,1,free,1.0
50,140 S 36th St,NeY1bH6IKJxnn4YAixibsQ,"Coffee & Tea, Restaurants, Sandwiches, Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",39.9536708974,-75.1949572908,Cosi,19104,115.0,2.5,PA,1,1,1,1,free,1.0
51,2653 S 11th St,hJnW5-ovJQkecq0EZhHaKw,"Coffee & Tea, Bubble Tea, Custom Cakes, Bakeries, Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '7:30-18:0', 'Sunday': '7:30-18:0'}",39.9163107,-75.1659042976,DoDo Bakery,19148,12.0,4.5,PA,,,1,1,,1.0
52,"16th & Flagship Dr, Bldg 543",QDvQmizwCiFGf3y0Om9jyA,"American (Traditional), Coffee & Tea, Restaurants, Food",Philadelphia,,39.888531,-75.1785888,Frog at the Yard,19112,10.0,3.5,PA,1,1,1,1,no,1.0
53,1740 Sansom St,vCHNWdW-ys-nWUx3Cpvk8Q,"Bakeries, Kosher, Food, Restaurants, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '9:0-15:0'}",39.9507452,-75.1701679,Swiss Haus Cafe & Pastry Bar,19103,261.0,4.0,PA,0,1,2,1,free,1.0
54,130 S 19th St,htO_nlxkEsYHzDrtbiUxew,"Restaurants, Food, Coffee & Tea",Philadelphia,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-19:0', 'Sunday': '7:0-19:0'}",39.9506099,-75.172368,La Colombe Coffee,19103,614.0,4.0,PA,0,1,1,1,no,1.0
55,226 W Rittenhouse Square,K9gaM9XdGqGWsQMdjpxFIQ,"Coffee & Tea, Food, Convenience Stores",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9492424097,-75.1739857577,7-Eleven,19103,15.0,3.5,PA,,1,1,1,,1.0
56,201 S Broad St,D2gONomZQyRjxR3TMHJovw,"Sandwiches, Food, Gas Stations, Restaurants, Coffee & Tea, Automotive, Convenience Stores",Philadelphia,"{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",39.949233,-75.164075,Wawa,19107,79.0,3.0,PA,,1,1,1,,1.0
57,1623 Ridge Ave,99zoELPcbwRBUqiPoaPqiQ,"Coffee & Tea, Food, Cafes, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '8:0-12:0', 'Saturday': '8:0-15:0'}",39.9699772,-75.1639247,Bold Coffee Bar,19130,28.0,5.0,PA,0,1,,1,free,1.0
58,1001 S 10th St,SfpJLbqHjLTR6FZ0s7upXQ,"Food, Specialty Food, Coffee & Tea, Ethnic Food",Philadelphia,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",39.9379293,-75.1596294,Mazag Cafe,19147,9.0,4.5,PA,1,0,1,,free,1.0
59,57-63 North Third St,mBcvp7NarEQEviJyRiX23Q,"Coffee & Tea, Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}",39.952062,-75.1451409228,Starbucks,19106,63.0,3.5,PA,1,1,2,1,free,1.0
